 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 36 473 14 3 ZTF_g 1584312155515 0 2.6308 133.172 5.53161 26.275 1.38887e-05 0.0301902 -0.0325374 2.25713e-05 384 30. 0.092519 0.083978 20.3622 26.275 1 2459338.8121528 473120155 54466.3546953646 130.089952712724 465.735513470536 47.4861669476221 56440.1971457211 122.835528494039 462.572399186093 1.08482178607363 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 37 473 14 3 ZTF_g 1586228635515 0 1.953 135.766 5.10809 26.3009 9.4752e-06 0.0251726 -0.0512808 1.51979e-05 398 30. 0.080979 0.07765 20.7651 26.3009 1 2459340.7286343 473120155 48806.991236985 122.49225167502 443.229051970684 95.6708736096598 48115.6087228642 112.183216830796 431.790703497125 1.06934976219988 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 38 473 14 3 ZTF_r 1588275065515 0 2.0793 235.246 5.78693 26.1991 8.666e-06 0.0237073 0.10906 1.35627e-05 392 30. 0.085886 0.07513 20.4437 26.1991 1 2459342.7750694 473120255 68613.5983433322 143.60609001457 531.486379455215 123.334703214435 68200.5593554087 129.425707413483 530.496571498186 1.05796851835348 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
 39 473 14 3 ZTF_g 1588316725515 0 2.871 128.221 4.24638 26.236 1.59891e-05 0.0322338 -0.0474451 2.59971e-05 386 30. 0.099616 0.092051 20.5261 26.236 1 2459342.8167245 473120155 35774.1704670845 105.309950314856 377.88092113555 27.3283913880952 37255.4346845937 100.153596962572 374.488319123466 1.08745204274824 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 40 473 14 3 ZTF_r 1590246245515 0 1.7415 236.84 5.60713 26.2061 9.7596e-06 0.0253107 0.107863 1.53558e-05 397 30. 0.083513 0.07481 20.6105 26.2061 1 2459344.74625 473120255 68253.6892613486 141.085514845863 538.144002706404 263.473700219618 64043.1512564237 120.331612791521 535.806710050142 1.03737077978833 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
 41 473 14 3 ZTF_g 1590254455515 0 1.8228 132.85 4.33888 26.2724 1.00114e-05 0.0257902 -0.0488793 1.57886e-05 399 30. 0.084467 0.074357 20.9518 26.2724 1 2459344.754456 473120155 34465.622203338 101.577984726256 377.434271361471 92.6661644802346 33322.1464794096 90.4983860269634 370.686976043308 1.06140280729373 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 42 473 14 3 ZTF_g 1593178185515 0 1.6782 132.272 4.81516 26.2709 9.574e-06 0.0251581 -0.0496023 1.52525e-05 394 30. 0.078871 0.073681 20.8842 26.2709 1 2459347.6781829 473120155 28640.2378400604 94.2490778897112 338.029273044581 116.073321776097 26640.2420138714 83.5398804464758 321.040267633159 1.05575572680203 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 43 473 14 3 ZTF_r 1595176125515 0 1.5895 238.814 5.96343 26.2052 1.07479e-05 0.026575 0.118166 1.6898e-05 397 30. 0.078814 0.075604 20.6014 26.2052 1 2459349.6761227 473120255 56349.9382468617 131.545153415837 476.511508235288 212.911888987375 52094.5970149385 114.516767849552 457.971859562022 1.04693830360082 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
 44 473 14 3 ZTF_g 1595210165515 0 2.616 135.665 4.39098 26.2907 1.45201e-05 0.0311975 -0.0360424 2.30615e-05 399 30. 0.091739 0.08536 20.6726 26.2907 1 2459349.710162 473120155 22666.8414633043 85.9168686515099 293.472470440076 20.7151962130082 23560.5671392387 83.287491236698 284.787650129452 1.09484920838211 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 45 473 14 3 ZTF_g 1598208545515 0 2.9639 130.678 6.50893 26.2746 1.8261e-05 0.0340654 -0.047843 3.20738e-05 364 30. 0.090718 0.088045 20.0846 26.2746 1 2459352.7085417 473120155 18104.7768859171 83.6011956651233 240.899273070513 7.98395855912575 19138.8850684976 89.8179448831057 214.520456749085 1.09384241888352 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 46 473 14 3 ZTF_r 1598238185515 0 3.2912 230.882 7.0553 26.1679 1.36327e-05 0.0299344 0.112525 2.14154e-05 396 30. 0.0915 0.091539 19.8338 26.1679 1 2459352.7381829 473120255 38167.1581377431 120.364505186963 352.733080028774 17.4390099842973 40595.3832471497 123.952093460043 329.714443283247 1.12908850850033 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
 47 473 14 3 ZTF_g 1600179025515 0 2.7553 139.304 8.96753 26.3356 2.26647e-05 0.0371648 -0.0287965 4.11861e-05 352 30. 0.089427 0.082702 19.8981 26.3356 1 2459354.6790278 473120155 18062.4335373632 90.5193350357792 221.967662321525 8.75945233155182 18741.1812794368 104.69451711048 180.213871121025 1.10296620091326 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 48 473 14 3 ZTF_r 1600211345515 0 2.4517 245.412 8.80438 26.2338 1.37899e-05 0.0301941 0.114426 2.15824e-05 398 30. 0.089579 0.081925 19.8835 26.2338 1 2459354.7113426 473120255 37400.1530531447 117.245653414605 354.839067482548 29.6047678250902 38005.3562116237 125.96409046212 303.747872365654 1.07874127618468 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
 49 473 14 3 ZTF_g 1604253795515 0 2.4653 131.674 18.7711 26.2593 4.94831e-05 0.0450381 -0.0264475 0.000112227 240 30. 0.090073 0.086278 19.0723 26.2593 1 2459358.7537963 473120155 14688.0876337107 117.417233631198 139.151602452725 4.15387626993295 15024.8882180347 169.127943354002 89.4357337094694 1.09086268116832 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 50 473 14 3 ZTF_r 1604310065515 0 2.1853 224.861 21.0507 26.137 2.86587e-05 0.0426272 0.115991 4.41934e-05 377 30. 0.088558 0.087956 18.9202 26.137 1 2459358.8100694 473120255 27631.0135975417 133.303120321027 230.574514203245 12.829031888311 27311.330298772 188.541348966838 145.831531546564 1.06540119386641 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
 51 473 14 3 ZTF_r 1607213955515 0 1.9135 254.224 11.4696 26.2905 1.23601e-05 0.0284098 0.0946845 1.93704e-05 397 30. 0.086044 0.071571 19.8461 26.2905 1 2459361.7139583 473120255 29402.5636446585 104.858606018679 311.914755361692 40.6883894228707 27606.860679182 123.369714212721 225.280528949695 1.04293414021236 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
 52 473 14 3 ZTF_g 1607254165515 0 1.8066 138.963 15.5958 26.299 3.11842e-05 0.0424542 -0.0298773 6.12248e-05 332 30. 0.086908 0.08404 19.5715 26.299 1 2459361.7541667 473120155 14811.8147855648 95.723880074598 172.124534943629 10.0193071836033 14431.7418803313 144.607610525916 100.471478917221 1.05455947349549 2.34780981315809 17.9349996566772 0.0890000015497208 5.28599977493286 0.507000029087067 2458214.780787 2458278.690648 0
 53 473 14 3 ZTF_r 1609206725515 0 1.8765 251.212 6.45054 26.284 9.2725e-06 0.0247464 0.102844 1.45958e-05 398 30. 0.08436 0.073366 20.4842 26.284 1 2459363.7067245 473120255 27195.5828638851 92.3994197033404 327.403960440105 62.678890908596 25980.3392137553 90.5670674139637 288.795022738074 1.04202735774033 2.85942039993687 17.5639995574951 0.104000002145767 5.88100004196167 0.702000021934509 2458185.927488 2458243.668808 0
