 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 19 397 11 1 ZTF_g 929487784115 0 2.0059 90.3689 14.9956 26.2155 6.49572e-05 0.0415027 -0.0190674 0.000130443 157 30. 0.064236 0.057796 19.4313 26.2155 3 2458683.9877894 397120141 18.6212685477081 66.7027081854294 0.310542180027114 1.04240304665199 -41.8689256118337 121.694138591356 -0.346367669985286 1.061313981111 3.02124716304239 18.3890001296997 0.0540000014007092 3.33299994468689 0.331000000238419 2458286.943785 2458351.920660 0
 20 397 11 1 ZTF_g 930404234115 0 2.6268 84.6627 14.9987 26.1616 6.5647e-05 0.0357253 -0.0300309 0.000159437 115 30. 0.072839 0.070256 19.1804 26.1616 3 2458684.9042361 397120141 530.79546668618 82.6274129489454 7.14591508033318 1.06853936962206 454.763934125119 128.915474962775 3.55137190099523 1.09925411501423 3.02124716304239 18.3890001296997 0.0540000014007092 3.33299994468689 0.331000000238419 2458286.943785 2458351.920660 0
 21 397 11 1 ZTF_r 930484754115 0 2.1028 175.519 12.5396 26.2628 3.29295e-05 0.0325257 0.141253 5.17935e-05 195 30. 0.062836 0.061799 19.6643 26.2628 3 2458684.9847569 397120241 595.916899685518 55.671873032617 11.9070635048299 1.15456235303998 633.380757335287 98.5839780150159 6.46805521562865 1.0525380817973 2.76432555898864 18.0350002288818 0.0579999983310699 4.34100008010864 0.252000004053116 2458312.941296 2458364.863900 0
 22 397 11 1 ZTF_r 936418284115 0 1.5022 160.746 7.55583 26.1615 2.35872e-05 0.0269705 0.119836 3.63713e-05 194 30. 0.06756 0.069949 20.3456 26.1615 3 2458690.918287 397120241 3840.61351227685 42.4285991788319 100.692404848248 5.886923724032 3456.48833374818 61.0695866353165 56.9803755562408 1.02824375569743 2.76432555898864 18.0350002288818 0.0579999983310699 4.34100008010864 0.252000004053116 2458312.941296 2458364.863900 0
 23 397 11 1 ZTF_r 936420554115 0 1.4426 161.66 7.5281 26.1779 2.02307e-05 0.0252102 0.120324 3.12956e-05 194 30. 0.074682 0.072909 20.392 26.1779 1 2458690.9205556 397120241 3722.16343602721 41.8810601031933 98.8627242325411 6.21541939367005 3389.81247895373 59.6933525940236 57.1695660024581 1.03092559473261 2.76432555898864 18.0350002288818 0.0579999983310699 4.34100008010864 0.252000004053116 2458312.941296 2458364.863900 0
 24 397 11 1 ZTF_g 936477124115 0 1.9283 81.5089 6.85678 26.1523 3.24577e-05 0.0324235 -0.0688184 5.17429e-05 194 30. 0.06194 0.055162 20.2536 26.1523 3 2458690.9771296 397120141 4548.61597523253 46.8116527263324 108.088651547401 5.00710161389356 4241.92421120618 62.7861760974026 68.0164660482333 1.04756265450699 3.02124716304239 18.3890001296997 0.0540000014007092 3.33299994468689 0.331000000238419 2458286.943785 2458351.920660 0
 25 397 11 1 ZTF_g 936478034115 0 1.7945 81.0652 6.86829 26.1376 2.65021e-05 0.0289772 -0.0483796 4.32511e-05 191 30. 0.062744 0.056942 20.3 26.1376 1 2458690.9780324 397120141 4519.71439676206 45.532871387925 110.418223322559 5.2842867913657 4344.34593461848 60.160571290393 72.6988667266546 1.05224790608695 3.02124716304239 18.3890001296997 0.0540000014007092 3.33299994468689 0.331000000238419 2458286.943785 2458351.920660 0
 26 397 11 1 ZTF_r 937437184115 0 2.2134 167.2 6.28607 26.2018 2.55278e-05 0.0281819 0.138694 3.99921e-05 193 30. 0.067913 0.058911 20.2669 26.2018 3 2458691.9371875 397120241 4445.33683983464 46.2519000973016 106.912847555974 3.79334592886082 4511.53806564376 60.6318131789748 74.9099077852053 1.04556085246118 2.76432555898864 18.0350002288818 0.0579999983310699 4.34100008010864 0.252000004053116 2458312.941296 2458364.863900 0
 27 397 11 1 ZTF_g 937475314115 0 1.9777 84.2831 5.58766 26.1923 2.99361e-05 0.0307198 -0.0741555 4.83779e-05 190 30. 0.065681 0.05506 20.4807 26.1923 3 2458691.9753125 397120141 5640.42117607028 47.2707285190845 132.731511484325 6.6262712306111 5564.22348786307 55.1755991830226 101.524930152721 1.05620463070044 3.02124716304239 18.3890001296997 0.0540000014007092 3.33299994468689 0.331000000238419 2458286.943785 2458351.920660 0
 28 397 11 1 ZTF_g 939423494115 0 1.8808 85.8859 4.79326 26.1967 2.37542e-05 0.0274309 -0.0520666 3.78974e-05 191 30. 0.063724 0.056468 20.6995 26.1967 1 2458693.9234954 397120141 7525.30571665092 51.4751799403357 162.622665639567 10.8920377502633 7466.17225341531 53.7344916712746 139.881426609377 1.0636527604439 3.02124716304239 18.3890001296997 0.0540000014007092 3.33299994468689 0.331000000238419 2458286.943785 2458351.920660 0
